ID,Fecha de publicación,Título de la clase,Descripción,Autor citado
2,1/8/2022,Clase 1: Las trayectorias escolares como problema. Abordaje conceptual,"La perspectiva de las trayectorias escolares es presentada en su surgimiento histórico, en sus potencialidades para el análisis de las condiciones de escolarización, y también en los malentendidos a que puede dar lugar, en especial cuando se utiliza el término “trayectorias” para nombrar de otro modo lo que en el campo educativo se nombra como “dificultad de aprendizaje”.",Terigi
2,1/8/2022,Clase 1: Las trayectorias escolares como problema. Abordaje conceptual,"La perspectiva de las trayectorias escolares es presentada en su surgimiento histórico, en sus potencialidades para el análisis de las condiciones de escolarización, y también en los malentendidos a que puede dar lugar, en especial cuando se utiliza el término “trayectorias” para nombrar de otro modo lo que en el campo educativo se nombra como “dificultad de aprendizaje”.",Vanella
2,1/8/2022,Clase 1: Las trayectorias escolares como problema. Abordaje conceptual,"La perspectiva de las trayectorias escolares es presentada en su surgimiento histórico, en sus potencialidades para el análisis de las condiciones de escolarización, y también en los malentendidos a que puede dar lugar, en especial cuando se utiliza el término “trayectorias” para nombrar de otro modo lo que en el campo educativo se nombra como “dificultad de aprendizaje”.",Maldonado
3,10/8/2022,Clase 2: Las trayectorias escolares en Educación Secundaria,"En esta oportunidad, profundizaremos el estudio de las trayectorias escolares en el nivel Secundario. Así como en la clase 1 trabajamos sobre aspectos de la reconstrucción biográfica, en esta incursionaremos en algunos aspectos del análisis estadístico. Retomaremos dos datos estadísticos de la provincia de Córdoba y, a partir de ellos, plantearemos análisis sobre los problemas que se generan en la transición entre Primaria y Secundaria, y sobre ciertas estipulaciones de los regímenes académicos, como la regla por la cual se define la repitencia de cursos escolares. Volveremos sobre las dificultades históricas que ha tenido la escuela Secundaria generada para una elite para transformarse en una escuela de masas y mostraremos la importancia que han cobrado, desde el establecimiento de la obligatoriedad escolar del nivel Secundario, las iniciativas de política educativa que se orientan al reingreso de la población excluida y la terminalidad de los estudios.",Acosta
3,10/8/2022,Clase 2: Las trayectorias escolares en Educación Secundaria,"En esta oportunidad, profundizaremos el estudio de las trayectorias escolares en el nivel Secundario. Así como en la clase 1 trabajamos sobre aspectos de la reconstrucción biográfica, en esta incursionaremos en algunos aspectos del análisis estadístico. Retomaremos dos datos estadísticos de la provincia de Córdoba y, a partir de ellos, plantearemos análisis sobre los problemas que se generan en la transición entre Primaria y Secundaria, y sobre ciertas estipulaciones de los regímenes académicos, como la regla por la cual se define la repitencia de cursos escolares. Volveremos sobre las dificultades históricas que ha tenido la escuela Secundaria generada para una elite para transformarse en una escuela de masas y mostraremos la importancia que han cobrado, desde el establecimiento de la obligatoriedad escolar del nivel Secundario, las iniciativas de política educativa que se orientan al reingreso de la población excluida y la terminalidad de los estudios.",Terigi
3,10/8/2022,Clase 2: Las trayectorias escolares en Educación Secundaria,"En esta oportunidad, profundizaremos el estudio de las trayectorias escolares en el nivel Secundario. Así como en la clase 1 trabajamos sobre aspectos de la reconstrucción biográfica, en esta incursionaremos en algunos aspectos del análisis estadístico. Retomaremos dos datos estadísticos de la provincia de Córdoba y, a partir de ellos, plantearemos análisis sobre los problemas que se generan en la transición entre Primaria y Secundaria, y sobre ciertas estipulaciones de los regímenes académicos, como la regla por la cual se define la repitencia de cursos escolares. Volveremos sobre las dificultades históricas que ha tenido la escuela Secundaria generada para una elite para transformarse en una escuela de masas y mostraremos la importancia que han cobrado, desde el establecimiento de la obligatoriedad escolar del nivel Secundario, las iniciativas de política educativa que se orientan al reingreso de la población excluida y la terminalidad de los estudios.",Baquero
3,10/8/2022,Clase 2: Las trayectorias escolares en Educación Secundaria,"En esta oportunidad, profundizaremos el estudio de las trayectorias escolares en el nivel Secundario. Así como en la clase 1 trabajamos sobre aspectos de la reconstrucción biográfica, en esta incursionaremos en algunos aspectos del análisis estadístico. Retomaremos dos datos estadísticos de la provincia de Córdoba y, a partir de ellos, plantearemos análisis sobre los problemas que se generan en la transición entre Primaria y Secundaria, y sobre ciertas estipulaciones de los regímenes académicos, como la regla por la cual se define la repitencia de cursos escolares. Volveremos sobre las dificultades históricas que ha tenido la escuela Secundaria generada para una elite para transformarse en una escuela de masas y mostraremos la importancia que han cobrado, desde el establecimiento de la obligatoriedad escolar del nivel Secundario, las iniciativas de política educativa que se orientan al reingreso de la población excluida y la terminalidad de los estudios.",Toscano
3,10/8/2022,Clase 2: Las trayectorias escolares en Educación Secundaria,"En esta oportunidad, profundizaremos el estudio de las trayectorias escolares en el nivel Secundario. Así como en la clase 1 trabajamos sobre aspectos de la reconstrucción biográfica, en esta incursionaremos en algunos aspectos del análisis estadístico. Retomaremos dos datos estadísticos de la provincia de Córdoba y, a partir de ellos, plantearemos análisis sobre los problemas que se generan en la transición entre Primaria y Secundaria, y sobre ciertas estipulaciones de los regímenes académicos, como la regla por la cual se define la repitencia de cursos escolares. Volveremos sobre las dificultades históricas que ha tenido la escuela Secundaria generada para una elite para transformarse en una escuela de masas y mostraremos la importancia que han cobrado, desde el establecimiento de la obligatoriedad escolar del nivel Secundario, las iniciativas de política educativa que se orientan al reingreso de la población excluida y la terminalidad de los estudios.",Briscioli
3,10/8/2022,Clase 2: Las trayectorias escolares en Educación Secundaria,"En esta oportunidad, profundizaremos el estudio de las trayectorias escolares en el nivel Secundario. Así como en la clase 1 trabajamos sobre aspectos de la reconstrucción biográfica, en esta incursionaremos en algunos aspectos del análisis estadístico. Retomaremos dos datos estadísticos de la provincia de Córdoba y, a partir de ellos, plantearemos análisis sobre los problemas que se generan en la transición entre Primaria y Secundaria, y sobre ciertas estipulaciones de los regímenes académicos, como la regla por la cual se define la repitencia de cursos escolares. Volveremos sobre las dificultades históricas que ha tenido la escuela Secundaria generada para una elite para transformarse en una escuela de masas y mostraremos la importancia que han cobrado, desde el establecimiento de la obligatoriedad escolar del nivel Secundario, las iniciativas de política educativa que se orientan al reingreso de la población excluida y la terminalidad de los estudios.",Sburlatti
3,10/8/2022,Clase 2: Las trayectorias escolares en Educación Secundaria,"En esta oportunidad, profundizaremos el estudio de las trayectorias escolares en el nivel Secundario. Así como en la clase 1 trabajamos sobre aspectos de la reconstrucción biográfica, en esta incursionaremos en algunos aspectos del análisis estadístico. Retomaremos dos datos estadísticos de la provincia de Córdoba y, a partir de ellos, plantearemos análisis sobre los problemas que se generan en la transición entre Primaria y Secundaria, y sobre ciertas estipulaciones de los regímenes académicos, como la regla por la cual se define la repitencia de cursos escolares. Volveremos sobre las dificultades históricas que ha tenido la escuela Secundaria generada para una elite para transformarse en una escuela de masas y mostraremos la importancia que han cobrado, desde el establecimiento de la obligatoriedad escolar del nivel Secundario, las iniciativas de política educativa que se orientan al reingreso de la población excluida y la terminalidad de los estudios.",Jacinto
3,10/8/2022,Clase 2: Las trayectorias escolares en Educación Secundaria,"En esta oportunidad, profundizaremos el estudio de las trayectorias escolares en el nivel Secundario. Así como en la clase 1 trabajamos sobre aspectos de la reconstrucción biográfica, en esta incursionaremos en algunos aspectos del análisis estadístico. Retomaremos dos datos estadísticos de la provincia de Córdoba y, a partir de ellos, plantearemos análisis sobre los problemas que se generan en la transición entre Primaria y Secundaria, y sobre ciertas estipulaciones de los regímenes académicos, como la regla por la cual se define la repitencia de cursos escolares. Volveremos sobre las dificultades históricas que ha tenido la escuela Secundaria generada para una elite para transformarse en una escuela de masas y mostraremos la importancia que han cobrado, desde el establecimiento de la obligatoriedad escolar del nivel Secundario, las iniciativas de política educativa que se orientan al reingreso de la población excluida y la terminalidad de los estudios.",Nobile
3,10/8/2022,Clase 2: Las trayectorias escolares en Educación Secundaria,"En esta oportunidad, profundizaremos el estudio de las trayectorias escolares en el nivel Secundario. Así como en la clase 1 trabajamos sobre aspectos de la reconstrucción biográfica, en esta incursionaremos en algunos aspectos del análisis estadístico. Retomaremos dos datos estadísticos de la provincia de Córdoba y, a partir de ellos, plantearemos análisis sobre los problemas que se generan en la transición entre Primaria y Secundaria, y sobre ciertas estipulaciones de los regímenes académicos, como la regla por la cual se define la repitencia de cursos escolares. Volveremos sobre las dificultades históricas que ha tenido la escuela Secundaria generada para una elite para transformarse en una escuela de masas y mostraremos la importancia que han cobrado, desde el establecimiento de la obligatoriedad escolar del nivel Secundario, las iniciativas de política educativa que se orientan al reingreso de la población excluida y la terminalidad de los estudios.",Rossano
3,10/8/2022,Clase 2: Las trayectorias escolares en Educación Secundaria,"En esta oportunidad, profundizaremos el estudio de las trayectorias escolares en el nivel Secundario. Así como en la clase 1 trabajamos sobre aspectos de la reconstrucción biográfica, en esta incursionaremos en algunos aspectos del análisis estadístico. Retomaremos dos datos estadísticos de la provincia de Córdoba y, a partir de ellos, plantearemos análisis sobre los problemas que se generan en la transición entre Primaria y Secundaria, y sobre ciertas estipulaciones de los regímenes académicos, como la regla por la cual se define la repitencia de cursos escolares. Volveremos sobre las dificultades históricas que ha tenido la escuela Secundaria generada para una elite para transformarse en una escuela de masas y mostraremos la importancia que han cobrado, desde el establecimiento de la obligatoriedad escolar del nivel Secundario, las iniciativas de política educativa que se orientan al reingreso de la población excluida y la terminalidad de los estudios.",Scasso
3,10/8/2022,Clase 2: Las trayectorias escolares en Educación Secundaria,"En esta oportunidad, profundizaremos el estudio de las trayectorias escolares en el nivel Secundario. Así como en la clase 1 trabajamos sobre aspectos de la reconstrucción biográfica, en esta incursionaremos en algunos aspectos del análisis estadístico. Retomaremos dos datos estadísticos de la provincia de Córdoba y, a partir de ellos, plantearemos análisis sobre los problemas que se generan en la transición entre Primaria y Secundaria, y sobre ciertas estipulaciones de los regímenes académicos, como la regla por la cual se define la repitencia de cursos escolares. Volveremos sobre las dificultades históricas que ha tenido la escuela Secundaria generada para una elite para transformarse en una escuela de masas y mostraremos la importancia que han cobrado, desde el establecimiento de la obligatoriedad escolar del nivel Secundario, las iniciativas de política educativa que se orientan al reingreso de la población excluida y la terminalidad de los estudios.",Steinberg
3,10/8/2022,Clase 2: Las trayectorias escolares en Educación Secundaria,"En esta oportunidad, profundizaremos el estudio de las trayectorias escolares en el nivel Secundario. Así como en la clase 1 trabajamos sobre aspectos de la reconstrucción biográfica, en esta incursionaremos en algunos aspectos del análisis estadístico. Retomaremos dos datos estadísticos de la provincia de Córdoba y, a partir de ellos, plantearemos análisis sobre los problemas que se generan en la transición entre Primaria y Secundaria, y sobre ciertas estipulaciones de los regímenes académicos, como la regla por la cual se define la repitencia de cursos escolares. Volveremos sobre las dificultades históricas que ha tenido la escuela Secundaria generada para una elite para transformarse en una escuela de masas y mostraremos la importancia que han cobrado, desde el establecimiento de la obligatoriedad escolar del nivel Secundario, las iniciativas de política educativa que se orientan al reingreso de la población excluida y la terminalidad de los estudios.",Tiramonti
3,10/8/2022,Clase 2: Las trayectorias escolares en Educación Secundaria,"En esta oportunidad, profundizaremos el estudio de las trayectorias escolares en el nivel Secundario. Así como en la clase 1 trabajamos sobre aspectos de la reconstrucción biográfica, en esta incursionaremos en algunos aspectos del análisis estadístico. Retomaremos dos datos estadísticos de la provincia de Córdoba y, a partir de ellos, plantearemos análisis sobre los problemas que se generan en la transición entre Primaria y Secundaria, y sobre ciertas estipulaciones de los regímenes académicos, como la regla por la cual se define la repitencia de cursos escolares. Volveremos sobre las dificultades históricas que ha tenido la escuela Secundaria generada para una elite para transformarse en una escuela de masas y mostraremos la importancia que han cobrado, desde el establecimiento de la obligatoriedad escolar del nivel Secundario, las iniciativas de política educativa que se orientan al reingreso de la población excluida y la terminalidad de los estudios.",Ziegler
5,18/8/2022,"Clase 3: Régimen académico, trayectorias escolares y sentido de la experiencia escolar","Vamos a profundizar en el análisis del régimen académico mediante una presentación más sistemática de las investigaciones en cuyo marco cobra protagonismo este concepto y a través de un trabajo de sistematización de las reglas que proponen distintos regímenes académicos para las actividades de los y las estudiantes en el nivel Secundario. En ese marco, se les propondrá analizar el Nuevo Régimen Académico de la Educación Secundaria de la Provincia de Córdoba (Res. Min. n.° 188/2018).",Baquero
5,18/8/2022,"Clase 3: Régimen académico, trayectorias escolares y sentido de la experiencia escolar","Vamos a profundizar en el análisis del régimen académico mediante una presentación más sistemática de las investigaciones en cuyo marco cobra protagonismo este concepto y a través de un trabajo de sistematización de las reglas que proponen distintos regímenes académicos para las actividades de los y las estudiantes en el nivel Secundario. En ese marco, se les propondrá analizar el Nuevo Régimen Académico de la Educación Secundaria de la Provincia de Córdoba (Res. Min. n.° 188/2018).",Terigi
5,18/8/2022,"Clase 3: Régimen académico, trayectorias escolares y sentido de la experiencia escolar","Vamos a profundizar en el análisis del régimen académico mediante una presentación más sistemática de las investigaciones en cuyo marco cobra protagonismo este concepto y a través de un trabajo de sistematización de las reglas que proponen distintos regímenes académicos para las actividades de los y las estudiantes en el nivel Secundario. En ese marco, se les propondrá analizar el Nuevo Régimen Académico de la Educación Secundaria de la Provincia de Córdoba (Res. Min. n.° 188/2018).",Toscano
5,18/8/2022,"Clase 3: Régimen académico, trayectorias escolares y sentido de la experiencia escolar","Vamos a profundizar en el análisis del régimen académico mediante una presentación más sistemática de las investigaciones en cuyo marco cobra protagonismo este concepto y a través de un trabajo de sistematización de las reglas que proponen distintos regímenes académicos para las actividades de los y las estudiantes en el nivel Secundario. En ese marco, se les propondrá analizar el Nuevo Régimen Académico de la Educación Secundaria de la Provincia de Córdoba (Res. Min. n.° 188/2018).",Briscioli
5,18/8/2022,"Clase 3: Régimen académico, trayectorias escolares y sentido de la experiencia escolar","Vamos a profundizar en el análisis del régimen académico mediante una presentación más sistemática de las investigaciones en cuyo marco cobra protagonismo este concepto y a través de un trabajo de sistematización de las reglas que proponen distintos regímenes académicos para las actividades de los y las estudiantes en el nivel Secundario. En ese marco, se les propondrá analizar el Nuevo Régimen Académico de la Educación Secundaria de la Provincia de Córdoba (Res. Min. n.° 188/2018).",Sburlatti
5,18/8/2022,"Clase 3: Régimen académico, trayectorias escolares y sentido de la experiencia escolar","Vamos a profundizar en el análisis del régimen académico mediante una presentación más sistemática de las investigaciones en cuyo marco cobra protagonismo este concepto y a través de un trabajo de sistematización de las reglas que proponen distintos regímenes académicos para las actividades de los y las estudiantes en el nivel Secundario. En ese marco, se les propondrá analizar el Nuevo Régimen Académico de la Educación Secundaria de la Provincia de Córdoba (Res. Min. n.° 188/2018).",Schoo
5,18/8/2022,"Clase 3: Régimen académico, trayectorias escolares y sentido de la experiencia escolar","Vamos a profundizar en el análisis del régimen académico mediante una presentación más sistemática de las investigaciones en cuyo marco cobra protagonismo este concepto y a través de un trabajo de sistematización de las reglas que proponen distintos regímenes académicos para las actividades de los y las estudiantes en el nivel Secundario. En ese marco, se les propondrá analizar el Nuevo Régimen Académico de la Educación Secundaria de la Provincia de Córdoba (Res. Min. n.° 188/2018).",Mena Martínez
5,18/8/2022,"Clase 3: Régimen académico, trayectorias escolares y sentido de la experiencia escolar","Vamos a profundizar en el análisis del régimen académico mediante una presentación más sistemática de las investigaciones en cuyo marco cobra protagonismo este concepto y a través de un trabajo de sistematización de las reglas que proponen distintos regímenes académicos para las actividades de los y las estudiantes en el nivel Secundario. En ese marco, se les propondrá analizar el Nuevo Régimen Académico de la Educación Secundaria de la Provincia de Córdoba (Res. Min. n.° 188/2018).",Fernández Enguita
5,18/8/2022,"Clase 3: Régimen académico, trayectorias escolares y sentido de la experiencia escolar","Vamos a profundizar en el análisis del régimen académico mediante una presentación más sistemática de las investigaciones en cuyo marco cobra protagonismo este concepto y a través de un trabajo de sistematización de las reglas que proponen distintos regímenes académicos para las actividades de los y las estudiantes en el nivel Secundario. En ese marco, se les propondrá analizar el Nuevo Régimen Académico de la Educación Secundaria de la Provincia de Córdoba (Res. Min. n.° 188/2018).",Riviére Gómez
6,1/9/2022,Clase 4: Desafíos en el acompañamiento de las trayectorias escolares,"La hipótesis de trabajo de la clase es que, frente a las necesidades de distinto orden que presentan los estudiantes, concebir e implementar el acompañamiento a las trayectorias como proyecto institucional significa trascender la tarea organizada alrededor de la capacidad de respuesta de ciertos agentes, para avanzar en el planeamiento institucional de las acciones de seguimiento de las trayectorias como responsabilidad del equipo docente en su conjunto. Propondremos un planeamiento en tres dimensiones: el trabajo didáctico, el trabajo institucional y el trabajo con otros sectores del Estado. Analizaremos distintos desafíos que se les plantean a los centros educativos de nivel Secundario en estas dimensiones y, sobre el final, volveremos sobre el seguimiento de trayectorias como función del sistema escolar.",Del Río
6,1/9/2022,Clase 4: Desafíos en el acompañamiento de las trayectorias escolares,"La hipótesis de trabajo de la clase es que, frente a las necesidades de distinto orden que presentan los estudiantes, concebir e implementar el acompañamiento a las trayectorias como proyecto institucional significa trascender la tarea organizada alrededor de la capacidad de respuesta de ciertos agentes, para avanzar en el planeamiento institucional de las acciones de seguimiento de las trayectorias como responsabilidad del equipo docente en su conjunto. Propondremos un planeamiento en tres dimensiones: el trabajo didáctico, el trabajo institucional y el trabajo con otros sectores del Estado. Analizaremos distintos desafíos que se les plantean a los centros educativos de nivel Secundario en estas dimensiones y, sobre el final, volveremos sobre el seguimiento de trayectorias como función del sistema escolar.",Álvarez
6,1/9/2022,Clase 4: Desafíos en el acompañamiento de las trayectorias escolares,"La hipótesis de trabajo de la clase es que, frente a las necesidades de distinto orden que presentan los estudiantes, concebir e implementar el acompañamiento a las trayectorias como proyecto institucional significa trascender la tarea organizada alrededor de la capacidad de respuesta de ciertos agentes, para avanzar en el planeamiento institucional de las acciones de seguimiento de las trayectorias como responsabilidad del equipo docente en su conjunto. Propondremos un planeamiento en tres dimensiones: el trabajo didáctico, el trabajo institucional y el trabajo con otros sectores del Estado. Analizaremos distintos desafíos que se les plantean a los centros educativos de nivel Secundario en estas dimensiones y, sobre el final, volveremos sobre el seguimiento de trayectorias como función del sistema escolar.",Goodson
6,1/9/2022,Clase 4: Desafíos en el acompañamiento de las trayectorias escolares,"La hipótesis de trabajo de la clase es que, frente a las necesidades de distinto orden que presentan los estudiantes, concebir e implementar el acompañamiento a las trayectorias como proyecto institucional significa trascender la tarea organizada alrededor de la capacidad de respuesta de ciertos agentes, para avanzar en el planeamiento institucional de las acciones de seguimiento de las trayectorias como responsabilidad del equipo docente en su conjunto. Propondremos un planeamiento en tres dimensiones: el trabajo didáctico, el trabajo institucional y el trabajo con otros sectores del Estado. Analizaremos distintos desafíos que se les plantean a los centros educativos de nivel Secundario en estas dimensiones y, sobre el final, volveremos sobre el seguimiento de trayectorias como función del sistema escolar.",Kantor
6,1/9/2022,Clase 4: Desafíos en el acompañamiento de las trayectorias escolares,"La hipótesis de trabajo de la clase es que, frente a las necesidades de distinto orden que presentan los estudiantes, concebir e implementar el acompañamiento a las trayectorias como proyecto institucional significa trascender la tarea organizada alrededor de la capacidad de respuesta de ciertos agentes, para avanzar en el planeamiento institucional de las acciones de seguimiento de las trayectorias como responsabilidad del equipo docente en su conjunto. Propondremos un planeamiento en tres dimensiones: el trabajo didáctico, el trabajo institucional y el trabajo con otros sectores del Estado. Analizaremos distintos desafíos que se les plantean a los centros educativos de nivel Secundario en estas dimensiones y, sobre el final, volveremos sobre el seguimiento de trayectorias como función del sistema escolar.",Kessler
6,1/9/2022,Clase 4: Desafíos en el acompañamiento de las trayectorias escolares,"La hipótesis de trabajo de la clase es que, frente a las necesidades de distinto orden que presentan los estudiantes, concebir e implementar el acompañamiento a las trayectorias como proyecto institucional significa trascender la tarea organizada alrededor de la capacidad de respuesta de ciertos agentes, para avanzar en el planeamiento institucional de las acciones de seguimiento de las trayectorias como responsabilidad del equipo docente en su conjunto. Propondremos un planeamiento en tres dimensiones: el trabajo didáctico, el trabajo institucional y el trabajo con otros sectores del Estado. Analizaremos distintos desafíos que se les plantean a los centros educativos de nivel Secundario en estas dimensiones y, sobre el final, volveremos sobre el seguimiento de trayectorias como función del sistema escolar.",Lerner
6,1/9/2022,Clase 4: Desafíos en el acompañamiento de las trayectorias escolares,"La hipótesis de trabajo de la clase es que, frente a las necesidades de distinto orden que presentan los estudiantes, concebir e implementar el acompañamiento a las trayectorias como proyecto institucional significa trascender la tarea organizada alrededor de la capacidad de respuesta de ciertos agentes, para avanzar en el planeamiento institucional de las acciones de seguimiento de las trayectorias como responsabilidad del equipo docente en su conjunto. Propondremos un planeamiento en tres dimensiones: el trabajo didáctico, el trabajo institucional y el trabajo con otros sectores del Estado. Analizaremos distintos desafíos que se les plantean a los centros educativos de nivel Secundario en estas dimensiones y, sobre el final, volveremos sobre el seguimiento de trayectorias como función del sistema escolar.",Montesinos
6,1/9/2022,Clase 4: Desafíos en el acompañamiento de las trayectorias escolares,"La hipótesis de trabajo de la clase es que, frente a las necesidades de distinto orden que presentan los estudiantes, concebir e implementar el acompañamiento a las trayectorias como proyecto institucional significa trascender la tarea organizada alrededor de la capacidad de respuesta de ciertos agentes, para avanzar en el planeamiento institucional de las acciones de seguimiento de las trayectorias como responsabilidad del equipo docente en su conjunto. Propondremos un planeamiento en tres dimensiones: el trabajo didáctico, el trabajo institucional y el trabajo con otros sectores del Estado. Analizaremos distintos desafíos que se les plantean a los centros educativos de nivel Secundario en estas dimensiones y, sobre el final, volveremos sobre el seguimiento de trayectorias como función del sistema escolar.",Schoo
6,1/9/2022,Clase 4: Desafíos en el acompañamiento de las trayectorias escolares,"La hipótesis de trabajo de la clase es que, frente a las necesidades de distinto orden que presentan los estudiantes, concebir e implementar el acompañamiento a las trayectorias como proyecto institucional significa trascender la tarea organizada alrededor de la capacidad de respuesta de ciertos agentes, para avanzar en el planeamiento institucional de las acciones de seguimiento de las trayectorias como responsabilidad del equipo docente en su conjunto. Propondremos un planeamiento en tres dimensiones: el trabajo didáctico, el trabajo institucional y el trabajo con otros sectores del Estado. Analizaremos distintos desafíos que se les plantean a los centros educativos de nivel Secundario en estas dimensiones y, sobre el final, volveremos sobre el seguimiento de trayectorias como función del sistema escolar.",Peretti
6,1/9/2022,Clase 4: Desafíos en el acompañamiento de las trayectorias escolares,"La hipótesis de trabajo de la clase es que, frente a las necesidades de distinto orden que presentan los estudiantes, concebir e implementar el acompañamiento a las trayectorias como proyecto institucional significa trascender la tarea organizada alrededor de la capacidad de respuesta de ciertos agentes, para avanzar en el planeamiento institucional de las acciones de seguimiento de las trayectorias como responsabilidad del equipo docente en su conjunto. Propondremos un planeamiento en tres dimensiones: el trabajo didáctico, el trabajo institucional y el trabajo con otros sectores del Estado. Analizaremos distintos desafíos que se les plantean a los centros educativos de nivel Secundario en estas dimensiones y, sobre el final, volveremos sobre el seguimiento de trayectorias como función del sistema escolar.",Rossano
6,1/9/2022,Clase 4: Desafíos en el acompañamiento de las trayectorias escolares,"La hipótesis de trabajo de la clase es que, frente a las necesidades de distinto orden que presentan los estudiantes, concebir e implementar el acompañamiento a las trayectorias como proyecto institucional significa trascender la tarea organizada alrededor de la capacidad de respuesta de ciertos agentes, para avanzar en el planeamiento institucional de las acciones de seguimiento de las trayectorias como responsabilidad del equipo docente en su conjunto. Propondremos un planeamiento en tres dimensiones: el trabajo didáctico, el trabajo institucional y el trabajo con otros sectores del Estado. Analizaremos distintos desafíos que se les plantean a los centros educativos de nivel Secundario en estas dimensiones y, sobre el final, volveremos sobre el seguimiento de trayectorias como función del sistema escolar.",Terigi
6,1/9/2022,Clase 4: Desafíos en el acompañamiento de las trayectorias escolares,"La hipótesis de trabajo de la clase es que, frente a las necesidades de distinto orden que presentan los estudiantes, concebir e implementar el acompañamiento a las trayectorias como proyecto institucional significa trascender la tarea organizada alrededor de la capacidad de respuesta de ciertos agentes, para avanzar en el planeamiento institucional de las acciones de seguimiento de las trayectorias como responsabilidad del equipo docente en su conjunto. Propondremos un planeamiento en tres dimensiones: el trabajo didáctico, el trabajo institucional y el trabajo con otros sectores del Estado. Analizaremos distintos desafíos que se les plantean a los centros educativos de nivel Secundario en estas dimensiones y, sobre el final, volveremos sobre el seguimiento de trayectorias como función del sistema escolar.",Uanini
